Libelle_point_arret;A;B;C;D;E;H;J;K;L;N;P;R;U
LE PLESSIS CHENET;;;;1;;;;;;;;;
JOINVILLE LE PONT;1;;;;;;;;;;;;
DOURDAN LA FORET;;;1;;;;;;;;;;
VITRY SUR SEINE;;;1;;;;;;;;;;
BOUTIGNY;;;;1;;;;;;;;;
FAREMOUTIERS POMMEUSE;;;;;;;;;;;1;;
DEUIL MONTMAGNY;;;;;;1;;;;;;;
GARGENVILLE;;;;;;;1;;;;;;
LE BRAS DE FER - Evry G̩nopole;;;;1;;;;;;;;;
JOUY SUR MORIN EUSTACHE;;;;;;;;;;;1;;
LA VARENNE CHENNEVIERES;1;;;;;;;;;;;;
LE CHENAY GAGNY;;;;;1;;;;;;;;
JOUY EN JOSAS;;;1;;;;;;;;;;
MALESHERBES;;;;1;;;;;;;;;
LE GUICHET;;1;;;;;;;;;;;
MARLES EN BRIE;;;;;;;;;;;1;;
LES VALLEES;;;;;;;;;1;;;;
JUZIERS;;;;;;;1;;;;;;
CHELLES GOURNAY;;;;;1;;;;;;1;;
AEROPORT CHARLES DE GAULLE  1 - Roissy;;1;;;;;;;;;;;
EVRY COURCOURONNES - Centre;;;;1;;;;;;;;;
CHAVILLE VELIZY;;;1;;;;;;;;;;
LOUVRES;;;;1;;;;;;;;;
NOGENT L'ARTAUD CHARLY;;;;;;;;;;;1;;
CRECY LA CHAPELLE;;;;;;;;;;;1;;
COMPANS;;;;;;;;1;;;;;
MORMANT;;;;;;;;;;;1;;
VIROFLAY RIVE GAUCHE;;;1;;;;;;;1;;;
MASSY PALAISEAU;;1;1;;;;;;;;;;
MANTES LA JOLIE;;;;;;;1;;;1;;;
PARC DES EXPOSITIONS;;1;;;;;;;;;;;
CORBEIL ESSONNES;;;;1;;;;;;;;;
LA HACQUINIERE;;1;;;;;;;;;;;
GARCHES MARNES LA COQUETTE;;;;;;;;;1;;;;
MONDESIR;;;1;;;;;;;;;;
LES ESSARTS LE ROI;;;;;;;;;;1;;;
SAINT MICHEL NOTRE DAME RER C;;;1;;;;;;;;;;
CHARLES DE GAULLE ETOILE;1;;;;;;;;;;;;
ROUTE DE MONNERVILLE;;;1;;;;;;;;;;
NOGENT LE PERREUX;;;;;1;;;;;;;;
SAVIGNY SUR ORGE;;;1;;;;;;;;;;
PETIT VAUX;;;1;;;;;;;;;;
CHAUMONT EN VEXIN;;;;;;;1;;;;;;
COURBEVOIE;;;;;;;;;1;;;;
NANGIS;;;;;;;;;;;1;;
GARE DU NORD RER;;1;;1;;;;;;;;;
VIGNEUX SUR SEINE;;;;1;;;;;;;;;
CHEMIN D'ANTONY;;;1;;;;;;;;;;
CHILLY MAZARIN;;;1;;;;;;;;;;
GOUSSAINVILLE;;;;1;;;;;;;;;
GARANCIERES LA QUEUE;;;;;;;;;;1;;;
TORCY;1;;;;;;;;;;;;
BELLOY SAINT-MARTIN;;;;;;1;;;;;;;
VANVES MALAKOFF;;;;;;;;;;1;;;
US;;;;;;;1;;;;;;
STADE DE FRANCE SAINT-DENIS;;;;1;;;;;;;;;
ORANGIS BOIS DE L'EPINE;;;;1;;;;;;;;;
NOISY CHAMPS;1;;;;;;;;;;;;
LUXEMBOURG;;1;;;;;;;;;;;
TACOIGNIERES RICHEBOURG;;;;;;;;;;1;;;
CHAVILLE RIVE GAUCHE;;;;;;;;;;1;;;
ISSY;;;1;;;;;;;;;;
ERAGNY NEUVILLE;;;;;;;1;;;;;;
VAUCRESSON;;;;;;;;;1;;;;
VAUCELLES;;;;;;1;;;;;;;
ERMONT EAUBONNE;;;1;;;1;1;;;;;;
COMBS LA VILLE QUINCY;;;;1;;;;;;;;;
VIRY CHATILLON;;;;1;;;;;;;;;
VILLEPINTE;;1;;;;;;;;;;;
BIEVRES;;;1;;;;;;;;;;
BAGNEUX;;1;;;;;;;;;;;
CORMEILLES EN PARISIS;;;;;;;1;;;;;;
ANTONY;;1;;;;;;;;;;;
YERRES;;;;1;;;;;;;;;
CROUY SUR OURCQ;;;;;;;;;;;1;;
PIERREFITTE-STAINS T11;;;;1;;;;;;;;;
VILLIERS MONTBARBIN;;;;;;;;;;;1;;
SAINT-CLOUD;;;;;;;;;1;;;;1
VILLIERS LE BEL GONESSE ARNOUVILLE;;;;1;;;;;;;;;
SAINT-MAUR CRETEIL;1;;;;;;;;;;;;
OZOIR LA FERRIERE;;;;;1;;;;;;;;
SAINT-GRATIEN;;;1;;;;;;;;;;
TRIE CHATEAU;;;;;;;1;;;;;;
PONT CARDINET;;;;;;;;;1;;;;
SAINT-MAMMES;;;;;;;;;;;;1;
TRILPORT;;;;;;;;;;;1;;
CONFLANS FIN D'OISE;1;;;;;;1;;1;;;;
MELUN;;;;1;;;;;;;;1;
SAINT-GERMAIN EN LAYE;1;;;;;;;;;;;;
BOISSY SAINT-LEGER;1;;;;;;;;;;;;
LE VESINET CENTRE;1;;;;;;;;;;;;
BUNO GIRONVILLE;;;;1;;;;;;;;;
SEVRAN LIVRY;;1;;;;;;;;;;;
SAINTE-COLOMBE SEPTVEILLES;;;;;;;;;;;1;;
MITRY CLAYE;;1;;;;;;1;;;;;
BUSSY SAINT-GEORGES;1;;;;;;;;;;;;
BRUYERES SUR OISE;;;;;;1;;;;;;;
MONTREUIL;;;;;;;;;1;;;;
SAINT-CYR;;;1;;;;;;;1;;;1
SAINT-MICHEL NOTRE DAME RER B;;;1;;;;;;;;;;
SAINT-NOM LA BRETECHE FORET DE MARLY;;;;;;;;;1;;;;
VAIRES TORCY;;;;;;;;;;;1;;
VERNOUILLET VERNEUIL;;;;;;;1;;;;;;
VERSAILLES RIVE DROITE;;;;;;;;;1;;;;
VIARMES;;;;;;1;;;;;;;
VILLENEUVE LE ROI;;;1;;;;;;;;;;
VULAINES SUR SEINE SAMOREAU;;;;;;;;;;;;1;
CONFLANS SAINTE-HONORINE;;;;;;;1;;;;;;
CREIL;;;;1;;1;;;;;;;
DRANCY;;1;;;;;;;;;;;
BALLANCOURT;;;;1;;;;;;;;;
CHAMPAGNE SUR SEINE;;;;;;;;;;;;1;
CHATELET LES HALLES;1;1;;1;;;;;;;;;
COIGNIERES;;;;;;;;;;1;;;
DOMONT;;;;;;1;;;;;;;
DOURDAN;;;1;;;;;;;;;;
ETAMPES;;;1;;;;;;;;;;
LA DEFENSE;1;;;;;;;;1;;;;1
LA FRETTE MONTIGNY;;;;;;;1;;;;;;
SAVIGNY LE TEMPLE NANDY;;;;1;;;;;;;;;
VILLENEUVE SAINT-GEORGES;;;;1;;;;;;;;;
TRAPPES;;;;;;;;;;1;;;1
VAL DE FONTENAY;1;;;;1;;;;;;;;
VERNEUIL L'ETANG;;;;;;;;;;;1;;
PANTIN;;;;;1;;;;;;;;
PLAISIR LES CLAYES;;;;;;;;;;1;;;
ROISSY EN BRIE;;;;;1;;;;;;;;
POISSY;1;;;;;;1;;;;;;
CHAMP DE MARS TOUR EIFFEL;;;1;;;;;;;;;;
RUNGIS LA FRATERNELLE;;;1;;;;;;;;;;
SAINT-REMY LA VANNE;;;;;;;;;;;1;;
BOISSY L'AILLERIE;;;;;;;1;;;;;;
SALLE DES FETES;;;1;;;;;;;;;;
PLAISIR GRIGNON;;;;;;;;;;1;;;
PONT PETIT;;;;;;1;;;;;;;
